chr	start	end	length	abs_summit	pileup	-logp	fold_enrichment	-logq	name
1	6333325	6333396	72	6333347	18.76	15.26817	8.47507	10.55695	rna_meth_peak_100
1	6333674	6333728	55	6333708	15.01	11.87177	6.86582	7.71043	rna_meth_peak_101
1	6339278	6339334	57	6339292	15.95	8.00906	4.86489	4.49261	rna_meth_peak_102
1	6339698	6339742	45	6339720	20.64	12.55551	6.27617	8.28349	rna_meth_peak_103
1	6349927	6349977	51	6349939	16.89	9.85775	5.72582	6.03245	rna_meth_peak_104
1	6393102	6393200	99	6393178	18.76	9.19679	4.91149	5.4794	rna_meth_peak_105
1	6550341	6550382	42	6550373	11.26	8.67911	5.87309	5.04825	rna_meth_peak_106
1	6554306	6554348	43	6554316	25.33	12.62006	5.26624	8.33881	rna_meth_peak_107
1	6644440	6644475	36	6644448	10.32	7.90096	5.59737	4.4116	rna_meth_peak_108
1	6785624	6785731	108	6785646	19.7	15.04501	8.01163	10.37163	rna_meth_peak_109
1	6820361	6820408	48	6820395	11.26	11.20074	7.4383	7.14902	rna_meth_peak_110
1	6825260	6825377	118	6825283	15.01	12.60817	7.31768	8.32933	rna_meth_peak_111
1	7779942	7779989	48	7779964	22.52	10.61817	4.88302	6.66241	rna_meth_peak_112
1	7961840	7961944	105	7961910	24.39	13.26439	5.74503	8.87721	rna_meth_peak_113
1	7962938	7963034	97	7962970	30.02	17.94505	6.64002	12.82768	rna_meth_peak_114
1	7965506	7965587	82	7965538	27.21	15.52104	6.18045	10.77114	rna_meth_peak_115
1	7969187	7969233	47	7969211	24.39	16.20596	7.21392	11.35796	rna_meth_peak_116
1	7969512	7969568	57	7969534	26.27	18.25277	7.74699	13.09732	rna_meth_peak_117
1	7970738	7970787	50	7970760	27.21	16.78797	6.76766	11.84647	rna_meth_peak_118
1	7971066	7971129	64	7971092	30.02	19.72141	7.44294	14.35254	rna_meth_peak_119
1	7977504	7977560	57	7977542	27.21	15.52104	6.18045	10.77114	rna_meth_peak_120
1	7977831	7977902	72	7977886	25.33	13.74193	5.76933	9.27067	rna_meth_peak_121
1	7984778	7984852	75	7984840	27.21	7.86958	3.24076	4.38499	rna_meth_peak_122
1	8002148	8002223	76	8002203	15.01	14.42006	8.42689	9.84393	rna_meth_peak_123
1	8057869	8057904	36	8057887	14.07	15.20639	9.14617	10.50808	rna_meth_peak_124
1	8862723	8862774	52	8862747	30.96	13.82634	5.12645	9.3472	rna_meth_peak_125
1	8863057	8863170	114	8863089	64.74	40.23678	8.58163	32.00254	rna_meth_peak_126
1	8863407	8863498	92	8863421	32.84	12.68811	4.45924	8.39232	rna_meth_peak_127
1	8863745	8863878	134	8863755	33.77	7.86615	2.94703	4.38162	rna_meth_peak_128
1	8864099	8864243	145	8864146	33.77	11.08791	3.8519	7.05612	rna_meth_peak_129
1	8865125	8865280	156	8865143	31.9	10.12835	3.73338	6.25846	rna_meth_peak_130
1	8865495	8865640	146	8865622	33.77	11.66908	4.02861	7.54296	rna_meth_peak_131
1	8866162	8866258	97	8866232	32.84	8.46087	3.16705	4.87018	rna_meth_peak_132
1	8866508	8866634	127	8866510	32.84	8.1324	3.07607	4.59919	rna_meth_peak_133
1	8866960	8867074	115	8867022	32.84	14.94412	5.25154	10.28831	rna_meth_peak_134
1	8867293	8867408	116	8867348	34.71	16.48435	5.5181	11.59027	rna_meth_peak_135
1	8867823	8867885	63	8867853	31.9	14.14363	5.10023	9.61865	rna_meth_peak_136
1	8868162	8868222	61	8868202	32.84	15.48414	5.45261	10.73791	rna_meth_peak_137
1	8870282	8870339	58	8870305	31.9	16.71055	6.10544	11.78553	rna_meth_peak_138
1	8870621	8870679	59	8870661	32.84	19.23192	6.97377	13.93275	rna_meth_peak_139
1	8871724	8871813	90	8871772	33.77	14.36757	4.90894	9.79835	rna_meth_peak_140
1	8872063	8872150	88	8872077	31.9	13.15313	4.74043	8.78884	rna_meth_peak_141
1	8874661	8874746	86	8874681	28.15	15.57515	6.00696	10.81585	rna_meth_peak_142
1	8875016	8875068	53	8875046	23.45	10.48096	4.65984	6.54431	rna_meth_peak_143
1	8878415	8878532	118	8878512	31.9	13.65011	4.91904	9.20287	rna_meth_peak_144
1	8893889	8893926	38	8893912	19.7	17.63295	9.61991	12.56461	rna_meth_peak_145
1	8894179	8894214	36	8894200	17.83	15.17343	8.74798	10.48481	rna_meth_peak_146
1	9570097	9570141	45	9570109	8.44	11.89807	7.8593	7.73094	rna_meth_peak_147
1	9735696	9735734	39	9735715	16.89	8.66668	5.03022	5.03678	rna_meth_peak_148
1	9736083	9736135	53	9736106	14.07	8.68176	5.18325	5.04985	rna_meth_peak_149
1	9741266	9741329	64	9741277	13.13	9.7357	6.06119	5.92667	rna_meth_peak_150
1	9743734	9743812	79	9743748	14.07	11.47685	6.88889	7.38271	rna_meth_peak_151
1	9749649	9749707	59	9749650	34.71	9.21751	3.24665	5.49708	rna_meth_peak_152
1	9773492	9773527	36	9773520	12.2	7.94909	5.17916	4.45172	rna_meth_peak_153
1	9823552	9823673	122	9823617	15.01	9.96971	5.71824	6.12938	rna_meth_peak_154
1	9926659	9926714	56	9926701	11.26	8.77509	5.9345	5.12689	rna_meth_peak_155
1	10151656	10151714	59	10151708	5.63	6.54252	5.29485	3.28617	rna_meth_peak_156
1	10161401	10161445	45	10161410	6.57	8.44321	6.22315	4.85648	rna_meth_peak_157
1	10256430	10256479	50	10256445	9.38	11.58207	7.84133	7.46843	rna_meth_peak_158
1	10267620	10267713	94	10267708	12.2	7.94909	5.17916	4.45172	rna_meth_peak_159
1	10276512	10276561	50	10276545	11.26	15.09546	9.43818	10.41683	rna_meth_peak_160
1	10324119	10324174	56	10324145	11.26	11.48424	7.60441	7.38741	rna_meth_peak_161
1	10337230	10337286	57	10337251	10.32	12.18396	8.10897	7.97006	rna_meth_peak_162
1	10365262	10365398	137	10365271	16.89	9.53556	5.53449	5.75932	rna_meth_peak_163
1	10399223	10399291	69	10399265	20.64	15.09243	7.72866	10.41386	rna_meth_peak_164
1	10399807	10399861	55	10399845	15.95	11.00421	6.70886	6.98822	rna_meth_peak_165
1	10400630	10400727	98	10400715	22.52	9.86634	4.5434	6.04072	rna_meth_peak_166
1	10403246	10403297	52	10403272	18.76	11.03256	5.91732	7.01292	rna_meth_peak_167
1	10404023	10404106	84	10404094	21.58	8.0666	3.9009	4.54644	rna_meth_peak_168
1	10404361	10404441	81	10404427	25.33	10.91693	4.54928	6.91429	rna_meth_peak_169
1	10407912	10407955	44	10407921	15.95	7.59581	4.62589	4.15105	rna_meth_peak_170
1	10408241	10408303	63	10408271	25.33	16.65376	7.18646	11.73707	rna_meth_peak_171
1	10411636	10411675	40	10411658	22.52	7.70065	3.63359	4.24036	rna_meth_peak_172
1	10417197	10417282	86	10417229	40.34	20.88127	6.14847	15.35394	rna_meth_peak_173
1	10618517	10618578	62	10618566	10.32	8.83155	6.19263	5.17604	rna_meth_peak_174
1	10622885	10622935	51	10622902	11.26	8.11592	5.51183	4.58569	rna_meth_peak_175
1	11013727	11013778	52	11013732	15.01	6.9063	4.00277	3.59419	rna_meth_peak_176
1	11013974	11014081	108	11014054	15.95	7.83967	4.76639	4.35828	rna_meth_peak_177
1	11017023	11017137	115	11017119	22.52	12.30845	5.69134	8.07358	rna_meth_peak_178
1	11059404	11059488	85	11059467	17.83	8.44714	4.70642	4.8595	rna_meth_peak_179
1	11059740	11059841	102	11059821	22.52	12.68394	5.87916	8.38891	rna_meth_peak_180
1	11066809	11066911	103	11066869	15.95	10.9596	6.68031	6.94877	rna_meth_peak_181
1	11074096	11074162	67	11074128	26.27	15.15635	6.22021	10.47221	rna_meth_peak_182
1	11079886	11079953	68	11079933	16.89	10.49953	6.11328	6.55984	rna_meth_peak_183
1	11080622	11080708	87	11080675	23.45	10.62934	4.72466	6.67105	rna_meth_peak_184
1	11080995	11081059	65	11081001	23.45	8.62197	3.88665	5.01208	rna_meth_peak_185
1	11095605	11095698	94	11095651	15.95	9.84673	5.97647	6.02312	rna_meth_peak_186
1	11095964	11096041	78	11096029	15.95	10.91534	6.65199	6.91283	rna_meth_peak_187
1	11112708	11112748	41	11112731	9.38	8.65404	6.27231	5.02643	rna_meth_peak_188
1	11121868	11121943	76	11121882	10.32	7.12083	5.08998	3.75578	rna_meth_peak_189
1	11122180	11122219	40	11122209	13.13	10.20629	6.35553	6.31989	rna_meth_peak_190
1	11127865	11127924	60	11127903	19.7	9.19156	4.72218	5.4747	rna_meth_peak_191
1	11129933	11129969	37	11129956	15.01	10.36913	5.95562	6.45287	rna_meth_peak_192
1	11144491	11144539	49	11144501	11.26	9.21692	6.21618	5.49658	rna_meth_peak_193
1	11144808	11144879	72	11144855	19.7	18.44343	10.1282	13.24973	rna_meth_peak_194
1	11146890	11146935	46	11146916	8.44	6.94751	5.37798	3.62061	rna_meth_peak_195
1	11149960	11150049	90	11149975	11.26	10.93334	7.27928	6.92647	rna_meth_peak_196
1	11157034	11157095	62	11157047	13.13	10.90922	6.79553	6.90906	rna_meth_peak_197
1	11167299	11167336	38	11167322	9.38	9.73406	6.90288	5.92662	rna_meth_peak_198
1	11199414	11199514	101	11199501	16.89	9.33048	5.41388	5.59131	rna_meth_peak_199
1	11204410	11204524	115	11204472	12.2	12.81295	8.18642	8.49778	rna_meth_peak_200
1	11204792	11204878	87	11204853	11.26	11.78581	7.77812	7.63808	rna_meth_peak_201
1	11209181	11209240	60	11209215	13.13	11.34488	7.06735	7.27154	rna_meth_peak_202
1	11209498	11209574	77	11209508	11.26	10.93334	7.27928	6.92647	rna_meth_peak_203
1	11228930	11228979	50	11228962	9.38	7.21519	5.36257	3.8337	rna_meth_peak_204
1	11230783	11230833	51	11230811	12.2	12.50471	8.00759	8.24054	rna_meth_peak_205
1	11231123	11231249	127	11231157	15.95	13.91461	8.59497	9.41635	rna_meth_peak_206
1	11232281	11232333	53	11232311	9.38	8.69921	6.29971	5.06395	rna_meth_peak_207
1	11233265	11233306	42	11233294	9.38	8.47853	6.16504	4.88306	rna_meth_peak_208
1	11234042	11234077	36	11234061	10.32	9.68723	6.72216	5.89038	rna_meth_peak_209
1	11241429	11241504	76	11241448	9.38	8.07214	5.91226	4.5481	rna_meth_peak_210
1	11255861	11255967	107	11255899	12.2	7.00563	4.59488	3.66519	rna_meth_peak_211
1	11259446	11259482	37	11259468	13.13	10.20629	6.35553	6.31989	rna_meth_peak_212
1	11675842	11675959	118	11675851	18.76	10.39254	5.55789	6.4691	rna_meth_peak_213
1	11676214	11676251	38	11676230	18.76	12.18266	6.58444	7.97006	rna_meth_peak_214
1	11676689	11676766	78	11676741	17.83	11.29152	6.32498	7.22812	rna_meth_peak_215
1	11677024	11677059	36	11677050	17.83	11.36859	6.37121	7.29238	rna_meth_peak_216
1	11677727	11677762	36	11677730	14.07	8.58516	5.12614	4.97731	rna_meth_peak_217
1	11680886	11680980	95	11680961	18.76	7.28745	3.95277	3.89407	rna_meth_peak_218
1	11748282	11748350	69	11748292	12.2	8.18918	5.32977	4.64642	rna_meth_peak_219
1	11934893	11934928	36	11934909	14.07	9.76312	5.83316	5.95062	rna_meth_peak_220
1	11948164	11948200	37	11948179	13.13	13.84066	8.57688	9.35815	rna_meth_peak_221
1	11949684	11949722	39	11949704	18.76	14.11689	7.75662	9.59342	rna_meth_peak_222
1	11952819	11952868	50	11952824	11.26	9.08008	6.12916	5.37936	rna_meth_peak_223
1	11955006	11955041	36	11955040	10.32	7.99793	5.66006	4.4828	rna_meth_peak_224
1	11958022	11958076	55	11958032	10.32	7.66189	5.44237	4.20955	rna_meth_peak_225
1	11958433	11958468	36	11958453	14.07	12.47422	7.50642	8.21426	rna_meth_peak_226
1	11958698	11958748	51	11958717	12.2	10.54429	6.81638	6.59647	rna_meth_peak_227
1	11965346	11965409	64	11965393	14.07	10.63072	6.36524	6.67124	rna_meth_peak_228
1	11980612	11980651	40	11980629	17.83	12.23982	6.9009	8.01402	rna_meth_peak_229
1	11992404	11992486	83	11992427	15.01	7.75706	4.45743	4.28543	rna_meth_peak_230
1	11992741	11992796	56	11992778	15.95	7.83967	4.76639	4.35828	rna_meth_peak_231
1	11996016	11996143	128	11996132	15.95	9.60867	5.8285	5.82315	rna_meth_peak_232
1	11996333	11996473	141	11996386	15.95	9.72642	5.90156	5.92212	rna_meth_peak_233
1	11997140	11997238	99	11997159	18.76	13.36217	7.29294	8.96286	rna_meth_peak_234
1	11997476	11997513	38	11997481	14.07	9.32774	5.56935	5.58936	rna_meth_peak_235
1	12002173	12002210	38	12002193	19.7	9.03822	4.64588	5.34783	rna_meth_peak_236
1	12004668	12004746	79	12004694	25.33	13.26045	5.55042	8.8744	rna_meth_peak_237
1	12006397	12006490	94	12006426	21.58	11.73046	5.61094	7.59383	rna_meth_peak_238
1	12031570	12031626	57	12031572	11.26	6.81252	4.67875	3.5108	rna_meth_peak_239
1	12299046	12299124	79	12299049	7.51	8.64601	6.42413	5.02284	rna_meth_peak_240
1	12378640	12378675	36	12378650	6.57	7.5959	5.87527	4.15105	rna_meth_peak_241
1	12400082	12400151	70	12400133	7.51	9.49146	6.79356	5.72174	rna_meth_peak_242
1	12403679	12403766	88	12403707	9.38	12.64516	8.29227	8.35656	rna_meth_peak_243
1	15406402	15406468	67	15406453	14.07	6.17367	3.76822	2.98153	rna_meth_peak_244
1	15668674	15668709	36	15668704	15.95	9.31879	5.64976	5.58109	rna_meth_peak_245
1	15684698	15684777	80	15684748	10.32	10.75942	7.35073	6.77771	rna_meth_peak_246
1	15717741	15717776	36	15717763	13.13	12.94705	8.04937	8.61236	rna_meth_peak_247
1	15909262	15909305	44	15909292	15.95	11.37397	6.94642	7.29499	rna_meth_peak_248
1	15911310	15911435	126	15911397	16.89	12.44825	7.33093	8.19563	rna_meth_peak_249
1	15916023	15916098	76	15916078	14.07	10.32573	6.17741	6.41595	rna_meth_peak_250
1	15916346	15916412	67	15916401	12.2	8.18918	5.32977	4.64642	rna_meth_peak_251
1	15919592	15919680	89	15919603	15.01	9.16153	5.2461	5.45062	rna_meth_peak_252
1	16367403	16367457	55	16367421	20.64	13.30889	6.69562	8.91364	rna_meth_peak_253
1	16396801	16396870	70	16396809	23.45	7.31044	3.38335	3.91163	rna_meth_peak_254
1	16562647	16562722	76	16562719	17.83	8.44714	4.70642	4.8595	rna_meth_peak_255
1	16564695	16564740	46	16564719	16.89	9.85775	5.72582	6.03245	rna_meth_peak_256
1	16564990	16565036	47	16565017	18.76	11.86941	6.40021	7.71043	rna_meth_peak_257
1	16566579	16566615	37	16566600	18.76	12.84198	6.97778	8.52049	rna_meth_peak_258
1	16666738	16666780	43	16666759	15.01	21.28426	12.09296	15.70495	rna_meth_peak_259
1	16666959	16666998	40	16666990	13.13	15.74648	9.62854	10.96095	rna_meth_peak_260
1	16740468	16740503	36	16740475	17.83	11.20838	6.27522	7.15505	rna_meth_peak_261
1	16895924	16895967	44	16895938	15.01	18.78783	10.90673	13.54575	rna_meth_peak_262
1	16896150	16896192	43	16896178	14.07	17.25319	10.26764	12.24523	rna_meth_peak_263
1	16986985	16987097	113	16987066	25.33	15.45243	6.5828	10.7101	rna_meth_peak_264
1	16987386	16987421	36	16987410	13.13	10.18988	6.34526	6.31045	rna_meth_peak_265
1	16988261	16988303	43	16988272	14.07	11.0376	6.61672	7.01783	rna_meth_peak_266
1	16989744	16989818	75	16989799	15.01	9.72642	5.57489	5.92212	rna_meth_peak_267
1	16990047	16990151	105	16990130	22.52	17.10634	8.29218	12.12037	rna_meth_peak_268
1	16991601	16991639	39	16991616	13.13	9.20985	5.73369	5.49181	rna_meth_peak_269
1	16991913	16991967	55	16991939	20.64	14.00146	7.09051	9.49034	rna_meth_peak_270
1	16996918	16996994	77	16996920	11.26	6.81252	4.67875	3.5108	rna_meth_peak_271
1	16997215	16997285	71	16997266	12.2	8.48199	5.51417	4.88626	rna_meth_peak_272
1	17001874	17001931	58	17001903	12.2	8.99599	5.83916	5.31728	rna_meth_peak_273
1	17004524	17004582	59	17004559	23.45	18.8111	8.96438	13.56498	rna_meth_peak_274
1	17004856	17004918	63	17004868	15.95	10.3558	6.29616	6.43996	rna_meth_peak_275
1	17011705	17011764	60	17011762	13.13	7.53305	4.71157	4.09943	rna_meth_peak_276
1	17019018	17019116	99	17019096	18.76	17.43471	9.84256	12.39095	rna_meth_peak_277
1	17022447	17022556	110	17022539	17.83	13.91858	7.95003	9.41903	rna_meth_peak_278
1	17022785	17022867	83	17022828	21.58	18.62443	9.53481	13.40935	rna_meth_peak_279
1	17023814	17023903	90	17023848	16.89	12.28064	7.22434	8.04868	rna_meth_peak_280
1	17024146	17024243	98	17024170	21.58	17.94317	9.11891	12.82718	rna_meth_peak_281
1	17027580	17027682	103	17027635	23.45	16.05192	7.40158	11.22259	rna_meth_peak_282
1	17027962	17028016	55	17028008	14.07	7.52656	4.51284	4.09566	rna_meth_peak_283
1	17028437	17028556	120	17028496	22.52	12.93285	6.00527	8.60068	rna_meth_peak_284
1	17028800	17028857	58	17028822	17.83	8.6349	4.80737	5.02284	rna_meth_peak_285
1	17032886	17032974	89	17032910	17.83	13.02601	7.38841	8.67839	rna_meth_peak_286
1	17033244	17033307	64	17033295	14.07	9.89832	5.91558	6.06873	rna_meth_peak_287
1	17053800	17053865	66	17053847	15.95	7.59581	4.62589	4.15105	rna_meth_peak_288
1	17413792	17413877	86	17413810	22.52	12.22894	5.65195	8.00476	rna_meth_peak_289
1	17416664	17416704	41	17416680	21.58	9.83455	4.68821	6.01331	rna_meth_peak_290
1	17416769	17416814	46	17416786	23.45	13.1954	5.9184	8.82122	rna_meth_peak_291
1	17420546	17420650	105	17420573	16.89	11.65213	6.82728	7.52893	rna_meth_peak_292
1	17420932	17420998	67	17420971	17.83	12.81235	7.25515	8.49778	rna_meth_peak_293
1	17422038	17422111	74	17422053	17.83	13.36884	7.60326	8.96823	rna_meth_peak_294
1	17422562	17422655	94	17422591	23.45	11.33701	5.04015	7.26698	rna_meth_peak_295
1	17422890	17422997	108	17422977	18.76	9.36617	5.00098	5.62111	rna_meth_peak_296
1	17425394	17425496	103	17425445	16.89	7.76418	4.52618	4.2919	rna_meth_peak_297
1	17428939	17429023	85	17428966	21.58	13.76691	6.68792	9.2929	rna_meth_peak_298
1	17429291	17429364	74	17429349	23.45	15.61929	7.1673	10.85336	rna_meth_peak_299
1	17439435	17439484	50	17439465	21.58	10.98013	5.23619	6.96524	rna_meth_peak_300
1	19076594	19076663	70	19076649	11.26	7.84668	5.33899	4.36334	rna_meth_peak_301
1	19097395	19097444	50	19097430	15.01	11.50264	6.6403	7.40386	rna_meth_peak_302
1	19099449	19099502	54	19099479	11.26	7.84668	5.33899	4.36334	rna_meth_peak_303
